weight_class,round,winner,winner_school,win_method,score,loser,loser_school
138,Quarterfinal,Samantha Barragan,Texas Wesleyan,TF,13-2,Kendall Bostelman,William Penn
138,Quarterfinal,Reagen Gallaway,Hastings,Dec,4-3,Jordan Suarez,Wayland Baptist
138,Quarterfinal,Waipuilani Estrella-Beauchamp,Providence,Dec,10-4,Kori Campbell,Lindsey Wilson
145,Quarterfinal,Jamilah McBryde,Life,TF,12-0,Aspen Dodge,Providence
145,Quarterfinal,Sevreign Aumua,Missouri Valley,TF,11-0,Krista Warren,Grand View
145,Quarterfinal,Esther Kolawole,William Penn,TF,10-0,Aubrey Yauger,Texas Wesleyan
145,Quarterfinal,Liv Wieber,Eastern Oregon,Dec,5-0,Josselinne Campos,Lindsey Wilson
160,Quarterfinal,Latifah McBryde,Life,TF,10-0,Aspen Barber,Doane
160,Quarterfinal,Josette Partney,Missouri Baptist,Dec,5-1,Micah Fisher,Cumberlands
160,Quarterfinal,Allyssa Johnson,Jamestown,Inj.,4:56,Quilaztli Miguel,Southern Oregon
160,Quarterfinal,Darby Weidl,Ottawa,Dec,13-8,Flor Parker Borrero,Evergreen State
180,Quarterfinal,Ashley Lekas,Texas Wesleyan,TF,11-0,Saiheron Preciado-Meza,Cumberlands
180,Quarterfinal,Liliana Vergara,Campbellsville,Dec,5-0,Bailey Dennis,Southern Oregon
180,Quarterfinal,Kelani Corbett,Missouri Valley,TF,11-0,Reka Busa,Life
180,Quarterfinal,Jannell Avila,Baker,Fall,5:48,India Page,Lindsey Wilson
207,Quarterfinal,Olivia Brown,Grand View,Fall,1:24,Hayeni Costa,Lindsey Wilson
207,Quarterfinal,Riley Dempewolf,Indiana Tech,Dec,2-1,Hannah Jackson,Ottawa
207,Quarterfinal,Savannah Isaac,Life,Fall,3:55,Alysse Phillips,Lourdes
207,Quarterfinal,Kathryn Hingano,Southern Oregon,Fall,4:11,Bella Porcelli,Grand View
103,Cons. Round 3,Malarie Dominguez,Wayland Baptist,Dec,6-0,Isabella Bocanegra,Providence
103,Cons. Round 3,Eyvori Jacquez,Saint Mary,Dec,7-0,Alanis Serrano-Rios,Waldorf
103,Cons. Round 3,Sofia Abramson,Oklahoma City,Dec,10-8,Olivia Atkins,William Penn
103,Cons. Round 3,Alexis Hatfield,Avila,Dec,5-0,Devyn Moore,Grand View
110,Cons. Round 3,Nizhoni Tallman-Olney,Evergreen State,Dec,8-4,Aynsley Fink,Ottawa
110,Cons. Round 3,Reagan Thomas,Lindsey Wilson,Dec,12-3,Nia Avelino,Eastern Oregon
110,Cons. Round 3,Jenna Gerhardt,Dickinson State,Dec,4-3,Telsarina Walter,Eastern Oregon
110,Cons. Round 3,Kayla Shota,Providence,TF,10-0,Hailey Holland,Missouri Valley
117,Cons. Round 3,Icart Galumette,Campbellsville,Fall,2:02,Alicia Frank,Providence
117,Cons. Round 3,Irma Retano,Eastern Oregon,TF,13-2,Larhae Whaley,Dickinson State
117,Cons. Round 3,Jamesa Robinson,Brewton-Parker,Fall,4:31,Julia Breeden,Doane
117,Cons. Round 3,Callie Payton,Lindsey Wilson,TF,10-0,Victoria Nunez,Central Methodist
124,Cons. Round 3,Alyssa Randles,Providence,TF,14-4,Presley Anderson,Cumberlands
124,Cons. Round 3,Ariana Martinez,Life,TF,12-0,Peyton Hand,Ottawa
124,Cons. Round 3,Catharine Campbell,Grand View,Fall,1:02,Catherine Steinkamp,William Penn
124,Cons. Round 3,Malia Welch,Southern Oregon,TF,13-2,Tess Barnett,Wayland Baptist
