weight_class,round,winner,winner_school,win_type,loser,loser_school,score
117,Champ. Round 2,Christianah Ogunsanya,William Penn,tech fall,Callie Payton,Lindsey Wilson,TF 10-0
117,Champ. Round 2,Addison Saporito,Ottawa,decision,Chloe Herrick,Baker,Dec 6-2
117,Champ. Round 2,Carolina Rios,Texas Wesleyan,fall,Mayangelie Colon,Grand View,Fall 1:56
117,Champ. Round 2,Cailin Campbell,Grand View,tech fall,Sarah Pineda,Missouri Valley,TF 12-2
117,Champ. Round 2,Zao Estrada,Missouri Valley,tech fall,Angelica Vicente Gonzalez,Doane,TF 10-0
117,Champ. Round 2,Grace Lashinsky,Lindsey Wilson,tech fall,Taylor Hood,Midland,TF 10-0
117,Champ. Round 2,Joely Slyter,Providence,fall,Sigrun Metzger,Ottawa,Fall 1:06
117,Champ. Round 2,Salyna Shotwell,Life,fall,Gloria Diaz,Eastern Oregon,Fall 1:02
117,Champ. Round 1,Chloe Herrick,Baker,fall,Yusneiry Agrazal,Central Methodist,Fall 5:03
117,Champ. Round 1,Cailin Campbell,Grand View,fall,Lakota Rogers,Bismarck State,Fall 1:02
117,Champ. Round 1,Grace Lashinsky,Lindsey Wilson,fall,Mariah Dillard,Wayland Baptist,Fall 2:20
117,Champ. Round 1,Salyna Shotwell,Life,fall,Mikayla Jardine,Dickinson State,Fall 0:58
124,1st Place Match,Cristelle Rodriguez,Doane,tech fall,Rose Kaplan,Indiana Tech,TF 10-0
124,3rd Place Match,Vicky Baez-Dilone,William Penn,fall,Rei Ogden,Bismarck State,Fall 0:17
124,5th Place Match,Kamilah Brooks,Lindsey Wilson,fall,Alyssa Randles,Providence,Fall 5:21
124,7th Place Match,Catherine Campbell,Grand View,tech fall,Lola Barkby,Indiana Tech,TF 11-0
124,Cons. Semi,Rei Ogden,Bismarck State,decision,Kamilah Brooks,Lindsey Wilson,Dec 8-3
124,Cons. Semi,Vicky Baez-Dilone,William Penn,fall,Alyssa Randles,Providence,Fall 1:01
124,Cons. Round 5,Rei Ogden,Bismarck State,fall,Catherine Campbell,Grand View,Fall 4:28
124,Cons. Round 5,Alyssa Randles,Providence,tech fall,Lola Barkby,Indiana Tech,TF 10-0
124,Semifinal,Cristelle Rodriguez,Doane,tech fall,Vicky Baez-Dilone,William Penn,TF 11-0
124,Semifinal,Rose Kaplan,Indiana Tech,decision,Kamilah Brooks,Lindsey Wilson,Dec 2-1
124,Cons. Round 4,Rei Ogden,Bismarck State,fall,Anna Krejsa,Life,Fall 2:03
124,Cons. Round 4,Catherine Campbell,Grand View,tech fall,Kaitlin Castro,Cumberlands,TF 10-0
124,Cons. Round 4,Lola Barkby,Indiana Tech,fall,Tati Paragas,William Penn,Fall 2:29
124,Cons. Round 4,Alyssa Randles,Providence,tech fall,Maya Davis,Grand View,TF 12-2
124,Cons. Round 3,Rei Ogden,Bismarck State,decision,Addison Messerly,Campbellsville,Dec 14-9
124,Cons. Round 3,Catherine Campbell,Grand View,decision,Kaylee Annis,Southern Oregon,Dec 2-0
124,Cons. Round 3,Lola Barkby,Indiana Tech,fall,Jazmine Turner,Dickinson State,Fall 4:11
124,Cons. Round 3,Maya Davis,Grand View,fall,Jasmina Immaeva,Missouri Valley,Fall 5:34
124,Quarterfinal,Cristelle Rodriguez,Doane,tech fall,Kaitlin Castro,Cumberlands,TF 10-0
124,Quarterfinal,Vicky Baez-Dilone,William Penn,tech fall,Anna Krejsa,Life,TF 10-0
124,Quarterfinal,Kamilah Brooks,Lindsey Wilson,decision,Alyssa Randles,Providence,Dec 6-6
124,Quarterfinal,Rose Kaplan,Indiana Tech,fall,Tati Paragas,William Penn,Fall 2:51
124,Cons. Round 2,Addison Messerly,Campbellsville,tech fall,Berlin Kiddoo,Central Methodist,TF 10-0
124,Cons. Round 2,Catherine Campbell,Grand View,tech fall,Tess Barnett,Wayland Baptist,TF 10-0
124,Cons. Round 2,Kaylee Annis,Southern Oregon,decision,Ellabelle Taylor,Evergreen State,Dec 8-4
124,Cons. Round 2,Jazmine Turner,Dickinson State,fall,Isla Baeza,Missouri Valley,Fall 5:18
124,Cons. Round 2,Lola Barkby,Indiana Tech,decision,Jes`Onia Barefield,Georgetown,Dec 8-2
124,Cons. Round 2,Maya Davis,Grand View,fall,Daniela Espinal,Montreat,Fall 2:08
124,Cons. Round 2,Jasmina Immaeva,Missouri Valley,fall,Myia Weiler,Southern Oregon,Fall 5:06
124,Champ. Round 2,Cristelle Rodriguez,Doane,tech fall,Myia Weiler,Southern Oregon,TF 10-0
124,Champ. Round 2,Kaitlin Castro,Cumberlands,fall,Maya Davis,Grand View,Fall 1:34
124,Champ. Round 2,Anna Krejsa,Life,tech fall,Lola Barkby,Indiana Tech,TF 10-0
124,Champ. Round 2,Vicky Baez-Dilone,William Penn,tech fall,Isla Baeza,Missouri Valley,TF 10-0
124,Champ. Round 2,Kamilah Brooks,Lindsey Wilson,decision,Kaylee Annis,Southern Oregon,Dec 8-4
124,Champ. Round 2,Alyssa Randles,Providence,decision,Catherine Campbell,Grand View,Dec 3-2
124,Champ. Round 2,Tati Paragas,William Penn,decision,Berlin Kiddoo,Central Methodist,Dec 10-7
124,Champ. Round 2,Rose Kaplan,Indiana Tech,fall,Rei Ogden,Bismarck State,Fall 0:57
124,Champ. Round 1,Maya Davis,Grand View,decision,Addison Messerly,Campbellsville,Dec 5-4
124,Champ. Round 1,Anna Krejsa,Life,tech fall,Tess Barnett,Wayland Baptist,TF 14-4
124,Champ. Round 1,Vicky Baez-Dilone,William Penn,tech fall,Ellabelle Taylor,Evergreen State,TF 18-8
124,Champ. Round 1,Kamilah Brooks,Lindsey Wilson,decision,Jazmine Turner,Dickinson State,Dec 9-2
124,Champ. Round 1,Catherine Campbell,Grand View,fall,Jes`Onia Barefield,Georgetown,Fall 2:18
124,Champ. Round 1,Berlin Kiddoo,Central Methodist,tech fall,Daniela Espinal,Montreat,TF 13-2
124,Champ. Round 1,Rose Kaplan,Indiana Tech,fall,Jasmina Immaeva,Missouri Valley,Fall 2:54
131,1st Place Match,Jumoke Adekoye,Dickinson State,tech fall,Olivia Mottley,Life,TF 10-0
131,3rd Place Match,Waipuilani Estrella-Beauchamp,Providence,fall,Sarah Savidge,Life,Fall 0:33
131,5th Place Match,Kendall Bostelman,William Penn,tech fall,Jeila Ramos,Lindsey Wilson,TF 11-0
131,7th Place Match,Alexis Schneider,Bismarck State,tech fall,Larissa Kaz,Hastings,TF 14-4
131,Cons. Semi,Waipuilani Estrella-Beauchamp,Providence,tech fall,Jeila Ramos,Lindsey Wilson,TF 11-0
131,Cons. Semi,Sarah Savidge,Life,decision,Kendall Bostelman,William Penn,Dec 8-0
131,Cons. Round 5,Jeila Ramos,Lindsey Wilson,tech fall,Larissa Kaz,Hastings,TF 13-2
131,Cons. Round 5,Kendall Bostelman,William Penn,decision,Alexis Schneider,Bismarck State,Dec 9-6
131,Semifinal,Olivia Mottley,Life,decision,Sarah Savidge,Life,Dec 7-2
131,Semifinal,Jumoke Adekoye,Dickinson State,decision,Waipuilani Estrella-Beauchamp,Providence,Dec 6-3
131,Cons. Round 4,Larissa Kaz,Hastings,decision,Elizabeth Duvall,Texas Wesleyan,Dec 9-4
131,Cons. Round 4,Jeila Ramos,Lindsey Wilson,fall,Mary Jane Porter,Cumberlands,Fall 5:29
131,Cons. Round 4,Kendall Bostelman,William Penn,tech fall,Bronwyn Brenneman,William Penn,TF 10-0
131,Cons. Round 4,Alexis Schneider,Bismarck State,fall,Olivia Messerly,Campbellsville,Fall 4:15
131,Cons. Round 3,Elizabeth Duvall,Texas Wesleyan,fall,Andrea Hernandez,Indiana Tech,Fall 0:29
131,Cons. Round 3,Mary Jane Porter,Cumberlands,tech fall,Jill High,York,TF 13-2
131,Cons. Round 3,Bronwyn Brenneman,William Penn,decision,Madison Pena,Wayland Baptist,Dec 6-0
131,Cons. Round 3,Olivia Messerly,Campbellsville,decision,Jade Morales,Southern Oregon,Dec 10-6
131,Quarterfinal,Sarah Savidge,Life,decision,Jeila Ramos,Lindsey Wilson,Dec 6-2
131,Quarterfinal,Olivia Mottley,Life,tech fall,Larissa Kaz,Hastings,TF 15-4
